title,genre,duration_min,release_year,rating
Above physical this,Comedy,143.28,2008,3.6
Receive,Drama,135.0,2008,2.3
Wish security pick,Drama,34.64,1995,2.1
Put left scene,Horror,35.37,2003,4.2
Business run method,Comedy,129.62,1988,3.2
Right thought,Drama,55.75,1982,4.6
Man describe,Comedy,107.84,2003,3.7
Set cultural,Comedy,86.72,1980,3.7
Picture house gun,Action,45.3,1994,3.0
To determine board organization,Romance,167.99,2002,2.0
Blue eat too,Drama,130.91,2009,3.9
Successful standard,Drama,41.33,2021,2.5
Much reduce,Thriller,116.85,1990,2.2
Week report account,Action,132.95,2017,4.0
Plan break across,Horror,42.6,1992,3.3
Stage visit listen anyone,Romance,98.49,2021,4.5
Blood admit,Documentary,139.33,2003,3.8
Economy feeling would state,Drama,150.66,1987,4.3
Same dark trade action,Drama,96.5,2017,4.1
Field save policy line,Comedy,102.88,2020,2.0
Nation ten,Comedy,103.09,2009,2.2
Professional need event wall,Documentary,66.1,2023,2.6
Spend can,Action,27.51,1982,2.5
Finish well,Horror,95.74,1981,2.9
Part man,Romance,155.14,2007,4.7
Professor research important,Romance,90.11,2002,3.1
Candidate,Drama,173.8,2019,3.0
Much continue,Documentary,40.16,1991,3.7
Not Democrat perform,Horror,121.32,2014,4.0
Magazine city admit,Comedy,146.34,2014,2.6
Political ten,Documentary,158.86,2019,2.2
Husband officer last,Comedy,54.48,2016,3.4
Decade,Thriller,68.91,2025,3.5
Fall different,Thriller,118.44,1986,2.8
Character court ball,Sci-Fi,106.51,1994,3.6
East,Action,93.88,1988,3.1
Up close leave,Thriller,59.06,2010,2.6
Sit cost,Sci-Fi,99.84,2020,2.6
Member indicate,Comedy,119.65,1996,3.9
Clearly school simple,Horror,98.98,1994,3.5
Upon phone,Action,119.66,2009,4.6
View what,Comedy,165.09,1989,4.2
When law break,Sci-Fi,51.62,2007,2.0
Cost about size might,Romance,143.57,2020,4.6
Home say,Sci-Fi,133.21,2018,4.5
End new name,Action,159.39,2008,2.4
Certain tonight,Horror,32.66,2008,4.5
Him front imagine,Drama,38.18,1995,4.7
Price evening method,Horror,105.07,2016,2.3
Wall somebody outside,Action,174.87,2016,2.6
House inside hundred,Documentary,66.06,1984,3.1
Successful pretty bed,Romance,150.66,2006,4.7
Very end research,Action,146.66,1996,2.1
Realize test food,Drama,66.97,1995,4.7
Share think nature mean,Drama,33.89,2012,3.8
Page rate,Documentary,160.81,2019,2.5
Attention cell citizen,Action,70.92,2003,3.2
Beyond health best,Thriller,152.93,2006,4.2
To so production,Documentary,175.99,1991,4.4
Trade choice issue,Thriller,60.73,2023,3.1
Region effort,Horror,43.67,2006,2.9
News letter he,Horror,125.37,1993,4.3
Building citizen,Sci-Fi,143.82,2023,4.2
Movement heavy,Sci-Fi,46.87,1980,2.5
Only happy,Documentary,57.44,2023,3.0
Me candidate,Horror,114.45,2002,4.4
Peace support street,Sci-Fi,50.78,1980,4.7
Ability start can,Sci-Fi,42.05,2002,4.5
Doctor represent,Thriller,175.1,2009,3.7
Interview set crime,Drama,52.38,1987,4.5
Thought action,Horror,140.24,1987,4.3
Fall government since,Drama,71.22,1999,2.8
Daughter,Horror,71.06,1980,3.3
Hope against,Action,56.45,2016,3.1
Glass modern performance,Thriller,74.15,2015,4.1
Pressure,Drama,125.18,2015,4.3
Continue final,Sci-Fi,76.68,1985,2.9
Face almost,Comedy,120.4,2008,3.4
Us investment,Romance,36.31,1992,2.1
Standard describe serious,Horror,152.6,2025,4.3
Beat year,Horror,152.13,1984,2.2
Much particularly,Romance,153.02,2025,4.0
Behind discuss,Sci-Fi,164.34,2023,4.3
Positive share,Drama,151.35,2025,3.6
Newspaper start,Sci-Fi,65.24,2000,3.5
Be majority,Romance,132.19,1987,3.5
Way main,Documentary,142.24,1997,3.3
Today development tonight,Horror,147.18,2019,2.8
Serious letter clear other,Sci-Fi,60.16,2018,2.7
Movie green,Documentary,35.89,1990,3.0
He month good probably,Comedy,43.51,2019,3.9
Them,Comedy,131.5,2018,2.2
Design source,Action,66.15,2010,4.4
Police,Romance,33.34,2007,3.9
Finish interesting,Horror,169.37,2002,2.8
Car prepare more,Sci-Fi,52.91,2005,2.2
Decide tend or,Documentary,36.39,1994,3.4
Man thing become,Thriller,120.24,1987,3.0
Reveal though plan,Sci-Fi,176.09,1994,2.9
Material explain ball,Romance,87.51,1995,3.3
Political couple expert now,Romance,115.07,1992,2.9
Food owner then,Romance,115.06,2014,2.8
Organization investment,Sci-Fi,155.16,2011,4.4
Purpose five might,Sci-Fi,149.16,1980,2.8
Authority line,Sci-Fi,173.97,2008,3.1
Course employee,Action,154.83,1995,3.1
They either statement set,Drama,51.89,2006,3.2
For here,Comedy,100.93,2014,4.6
Environment all,Sci-Fi,87.83,1995,2.4
People country lose prepare,Drama,66.91,2003,3.0
Itself like,Action,33.75,1994,2.1
Majority save,Romance,154.73,1993,2.5
Mission national,Drama,46.84,1988,2.6
Main common,Action,137.27,1984,3.4
Policy democratic we,Comedy,160.59,2021,3.5
Dream meet than,Comedy,156.82,1993,3.6
Tv eye let,Thriller,130.81,1989,3.2
Hotel exist maintain,Horror,105.14,1984,2.9
Then white draw off,Drama,76.95,2008,4.3
Operation official hand,Action,43.07,2001,3.2
Southern out,Documentary,125.93,2025,4.5
Mrs bar painting,Sci-Fi,158.81,2016,3.0
Control evening that,Documentary,30.93,2009,4.2
Reach bag,Drama,73.28,1980,3.7
By win alone style,Sci-Fi,147.89,2023,4.4
Political article,Sci-Fi,106.17,1988,3.1
Carry represent,Horror,179.47,1985,2.0
Guess capital price,Drama,74.43,2021,3.0
Man over anyone,Comedy,178.52,1998,3.0
Player we,Thriller,52.87,1985,2.5
Project item,Comedy,139.77,2002,3.6
Media goal,Horror,151.1,1994,3.9
Machine forget must generation,Sci-Fi,166.88,2003,2.9
Lead detail,Action,72.96,2023,3.5
After reason action,Sci-Fi,73.9,2007,2.5
Budget technology,Documentary,27.74,2004,4.3
Cost ahead its,Sci-Fi,21.09,2001,3.2
Analysis reality edge already,Thriller,73.74,2006,2.3
To marriage,Thriller,83.05,1992,4.7
Compare body daughter,Comedy,151.43,1982,4.3
Or issue,Action,83.86,2019,2.7
Decide fire because marriage,Romance,57.75,2014,2.5
Whom,Drama,56.62,2012,2.2
Ok watch,Action,124.5,2015,3.3
Thought instead,Documentary,148.43,1990,3.1
Skill way something,Thriller,110.65,1993,2.5
Realize third magazine,Thriller,138.55,2007,2.8
How may,Action,123.13,2003,2.0
Likely country yourself now,Action,31.95,2001,4.7
Detail serious until,Action,133.71,2018,3.8
Democratic ability question,Thriller,64.15,2009,3.0
Indicate,Drama,67.83,1989,2.4
Very everyone,Romance,85.29,2005,4.7
Whether hope try,Horror,60.44,2003,2.9
See I southern,Sci-Fi,114.72,2020,2.1
Pay,Sci-Fi,21.25,1988,3.7
Energy argue body,Horror,72.86,2021,2.5
Various single garden,Romance,28.68,2014,4.4
Less,Thriller,125.26,2001,4.2
Voice talk often,Sci-Fi,78.01,1996,4.1
Involve consumer,Comedy,134.86,1997,4.0
Scientist great meet,Thriller,68.02,1997,4.8
Process second town,Romance,161.06,2020,4.1
A talk,Thriller,42.52,2014,4.7
Usually walk,Sci-Fi,126.54,2024,2.6
Interview,Sci-Fi,136.57,1996,3.6
Manager because,Documentary,21.51,1988,3.6
Customer class them,Comedy,160.11,2009,2.3
Management soldier,Horror,45.81,2020,2.8
Nice,Comedy,157.3,2016,3.4
She,Horror,89.48,1992,4.4
Realize add poor,Drama,113.34,2006,2.8
Note better,Action,78.62,2008,2.6
Until concern reason should,Comedy,114.04,1989,3.2
Population I brother,Documentary,86.91,2016,2.1
Experience choose,Action,80.47,2013,2.7
Eye walk,Action,100.83,2006,2.9
View back,Sci-Fi,177.4,1998,2.6
Involve road other,Sci-Fi,110.8,2006,3.0
Operation main star,Horror,166.24,1992,4.1
Again,Action,29.08,2024,3.5
Child stop run one,Documentary,53.66,1999,3.4
Purpose continue fine,Action,134.1,1998,3.9
Candidate at consider,Sci-Fi,150.3,2017,3.4
Free before,Horror,30.77,2017,3.1
Have officer,Sci-Fi,84.97,1995,3.7
City attorney really,Action,172.28,1996,2.7
National could policy,Drama,81.54,1999,3.7
Involve girl last,Comedy,45.5,2024,4.2
Focus friend behavior write,Drama,146.11,2005,3.7
Yet ability individual,Sci-Fi,39.05,2011,3.0
Religious like,Action,20.26,1990,3.6
Resource traditional yard,Documentary,86.47,2000,2.0
Inside allow eight,Thriller,20.33,1991,3.2
Somebody,Drama,131.04,2022,4.6
System environmental,Thriller,116.01,1984,3.6
Worker rich south,Documentary,37.47,2015,4.2
If life certainly,Thriller,49.95,2025,3.6
Want above,Drama,89.97,1991,4.1
Year goal hold,Comedy,178.7,2011,4.0
Material,Thriller,76.72,2005,2.5
Social,Comedy,87.13,1990,4.3
Up force,Documentary,116.04,2011,2.1
Century someone learn,Romance,51.59,2013,2.2
New result,Comedy,175.62,1993,4.0
However old lose,Comedy,72.65,2016,3.3
Teach stuff,Thriller,43.06,1985,3.2
Business,Romance,61.13,2011,3.7
Majority thousand,Documentary,42.87,1985,3.5
Save one,Drama,98.7,2005,2.7
Sea continue writer them,Action,168.7,1992,2.6
Computer recognize after,Horror,142.61,1984,4.6
Involve seem son,Thriller,167.72,1980,4.6
Three,Comedy,57.38,2000,3.1
Letter star another,Documentary,72.85,1992,4.1
Hot official,Action,111.17,2018,4.1
For clearly,Sci-Fi,107.21,1989,2.0
Structure different arm,Action,23.91,2025,3.8
Imagine serious surface,Action,70.28,2006,2.9
Production evidence,Drama,114.43,2002,3.0
Situation against loss,Drama,145.3,1999,2.7
Team significant fly,Documentary,106.6,2014,2.7
Country field president,Sci-Fi,61.08,2017,3.1
Center more center,Documentary,163.02,2000,3.8
Or close,Drama,166.15,2011,2.5
Adult voice discussion,Drama,37.39,1982,4.2
Walk,Romance,84.14,1998,4.1
Oil arrive place,Comedy,116.25,2003,2.3
Threat tonight,Romance,95.29,2008,3.8
Question sit,Documentary,25.55,2003,4.5
Mrs prove box,Thriller,139.89,1995,3.6
Sing,Drama,39.48,1983,2.9
Generation suffer rate,Sci-Fi,30.05,1981,2.6
Town remain,Comedy,56.42,2012,3.8
Today however rule,Thriller,35.31,2011,4.1
Hospital court,Drama,68.67,1986,3.6
Manager,Thriller,145.84,2008,3.5
According sister,Sci-Fi,162.86,1980,3.0
Style story federal,Drama,45.36,1999,4.0
Hope,Romance,60.06,1999,3.5
Different wide deep,Sci-Fi,138.27,2004,4.7
By record,Comedy,168.53,2010,3.5
Happy adult,Thriller,109.24,1987,2.3
Media your their,Sci-Fi,106.29,2011,2.0
Leave back,Sci-Fi,90.1,1992,4.0
Eat within business,Horror,117.53,2025,3.8
Third,Romance,143.39,2008,3.4
Green a approach yes,Romance,122.76,1992,2.9
Bed money source,Horror,31.73,2012,4.3
Learn,Sci-Fi,115.13,1989,3.9
Move blood professional,Sci-Fi,41.06,2019,3.2
Practice gun,Drama,48.84,1997,3.3
Pass gas left,Action,160.61,2014,3.3
Relationship step let,Thriller,129.1,1996,4.3
Treatment social,Romance,174.34,1994,3.9
Listen chair tonight,Romance,149.05,2017,3.0
Industry ready offer,Horror,169.26,1982,4.6
Season matter,Thriller,157.7,2023,4.0
Young when information,Thriller,97.31,1996,2.8
Believe hear key,Sci-Fi,70.52,2011,4.3
Rate development,Drama,120.67,1999,2.0
Spring wonder,Romance,116.08,1991,4.7
Party reach star,Thriller,112.77,1992,2.9
Front boy rate,Comedy,142.72,2004,4.1
Professor tough,Drama,91.14,2006,2.8
Spend,Action,94.74,1981,4.0
Responsibility toward,Sci-Fi,108.35,1991,2.2
Piece,Thriller,27.93,2018,4.4
At current,Horror,91.93,2025,3.2
But whom,Drama,138.53,1993,2.5
Development often program activity,Documentary,144.77,1980,2.1
Wait trial hair,Documentary,69.92,2003,4.7
Successful ago look itself,Thriller,50.29,2025,4.1
Adult approach,Comedy,74.45,2012,4.0
Avoid move scientist,Action,86.45,2012,2.5
Whole stand threat,Romance,119.59,2004,3.2
Person purpose down black,Comedy,29.64,1990,3.0
Professor,Action,62.01,1993,4.3
Newspaper six subject,Documentary,164.36,1980,2.3
Wait memory,Romance,46.2,1981,3.3
Note center,Drama,102.79,2024,3.5
Beat leave,Action,92.42,2010,2.8
Stand tell you,Action,113.71,2005,4.0
Example above onto,Romance,23.7,1984,4.3
Class visit,Sci-Fi,21.57,1990,3.0
Responsibility million goal structure,Comedy,37.54,1994,3.4
Take mind,Thriller,55.04,2001,4.2
Employee,Comedy,152.36,2010,3.8
Role security,Action,140.68,1986,2.6
Concern this,Thriller,53.29,1994,3.1
Month improve,Documentary,89.78,2019,3.4
Weight action fish,Comedy,132.72,1995,3.7
Partner sure already,Comedy,108.33,2024,2.9
Change score treat,Horror,132.35,2020,3.5
Doctor stop special,Thriller,64.72,1994,3.5
Because identify,Thriller,125.61,1993,2.6
Feel town dog,Documentary,59.78,1994,3.9
Clearly do lead low,Romance,92.84,1992,2.5
Task business,Action,86.9,2015,4.5
Give better address,Drama,104.8,1993,2.2
Management court information body,Drama,154.71,2015,2.7
Wish,Thriller,87.73,2008,4.5
Community everything activity,Action,88.65,2001,3.2
Matter world few,Drama,127.66,2014,2.3
Couple physical everyone,Sci-Fi,162.17,1991,3.3
Top local kid your,Action,54.99,2016,3.0
While then,Horror,56.0,2013,2.5
Ok sure,Documentary,61.93,2019,4.4
Interest huge,Drama,36.41,1999,4.6
Agree artist,Documentary,84.54,1998,2.2
Floor want,Drama,157.37,1991,3.5
Tonight suffer,Thriller,161.71,2023,4.3
South method,Horror,112.27,1992,3.0
Success enter,Drama,115.67,1981,4.4
Traditional station,Romance,123.59,1984,2.9
Cultural fish point bill,Drama,149.52,2016,2.8
Group citizen position,Thriller,134.49,2014,4.1
Relate choice,Drama,40.16,2001,3.1
Attack blood,Romance,88.04,2008,3.7
With cold,Romance,120.92,2020,3.4
Total,Comedy,126.86,2002,4.3
House which,Comedy,109.13,2003,3.7
Investment all,Action,37.98,1993,2.0
Per character apply,Thriller,111.42,2016,2.1
Easy they major,Comedy,129.16,1994,3.6
Approach quality,Horror,141.49,1995,2.8
Follow can,Thriller,41.65,2005,2.9
Action perhaps yard,Romance,95.29,2022,4.5
Pull such,Drama,115.55,2011,2.9
Simple how,Thriller,68.53,1988,4.5
Candidate plant purpose,Thriller,176.12,2020,2.5
Chair again,Thriller,73.59,2013,3.3
They stop foot,Drama,169.79,1981,2.2
Something,Sci-Fi,162.44,1984,3.6
Unit father left,Comedy,124.58,2024,4.6
Push rise chance have,Action,155.23,2019,2.1
Western win just physical,Horror,47.32,2003,2.8
Understand well,Romance,58.12,2013,4.3
Resource something authority bit,Horror,103.84,1987,4.1
Hard growth,Romance,113.4,2001,2.4
Personal,Thriller,20.49,1980,3.8
Institution remain final,Action,135.39,1984,2.8
Country candidate scene,Documentary,118.09,2017,3.5
Group public position out,Romance,94.94,1999,3.9
Someone range even,Documentary,54.8,2007,3.2
Structure name choose,Documentary,39.51,1983,2.4
Your explain,Thriller,62.92,2006,2.7
Behavior expect material building,Horror,171.7,2009,3.8
Sound house live employee,Sci-Fi,35.42,2023,2.6
System number,Documentary,26.59,1985,4.2
Character design of,Horror,22.49,2012,2.5
Performance book game,Comedy,123.8,1999,2.2
Need,Horror,100.35,2009,3.4
Six force if once,Thriller,45.81,2007,3.0
Man quality,Thriller,36.63,1996,4.0
Nothing small real,Romance,93.59,2023,4.4
Population inside picture,Sci-Fi,34.13,1999,2.2
Need likely friend him,Horror,169.2,1993,4.7
Nearly board somebody,Documentary,122.31,1992,3.5
Performance amount rather very,Documentary,41.85,1995,3.3
Growth father,Romance,161.64,1990,4.7
Thus star,Comedy,135.17,2025,3.8
Often look film idea,Romance,170.94,2008,2.7
Everybody wear police,Thriller,151.16,1996,3.2
For answer arrive,Thriller,140.84,2007,4.1
Stop local able,Sci-Fi,48.87,2015,4.2
Special sport war,Horror,38.6,1998,2.8
Movement one,Sci-Fi,124.71,2008,4.5
Lot energy next,Thriller,80.94,2008,4.6
New specific,Drama,39.19,2000,4.5
Stop range,Romance,35.73,1989,2.0
Site require,Thriller,155.36,2021,3.0
Else thousand apply,Thriller,36.47,2013,3.0
My term,Documentary,80.43,2007,3.1
Resource campaign natural,Action,172.12,1986,4.8
Increase factor,Comedy,119.94,2005,3.6
Which idea,Thriller,164.11,2000,3.1
Second color air,Documentary,139.44,2018,4.8
Exactly after,Thriller,53.69,2009,4.2
Create hour leave,Sci-Fi,92.64,2024,2.7
Wait middle above,Sci-Fi,165.8,1993,2.7
Country economic,Documentary,85.78,2014,4.2
Blue whether identify,Drama,116.22,1991,4.7
Off together record,Thriller,176.78,2002,3.5
Building everybody,Action,98.21,2002,3.8
Important real whether,Drama,100.73,2005,3.9
Land unit chance,Romance,166.49,2002,4.5
Sing suffer him,Thriller,128.37,2000,2.6
Inside determine fear,Sci-Fi,76.55,1993,3.4
Them big,Romance,37.59,2016,4.8
Leg food store,Documentary,74.62,1980,2.8
House,Drama,98.8,1999,3.7
Information,Horror,156.34,1980,3.6
It skill machine,Romance,45.67,2007,3.2
Machine party,Romance,147.18,2015,2.9
Simply wait risk,Documentary,35.59,2006,4.8
Season might coach appear,Sci-Fi,26.37,1992,2.8
Between,Romance,115.81,2009,4.7
Often its hot respond,Action,49.17,2017,3.3
Movement common,Horror,114.23,1999,3.1
Entire sit,Drama,47.06,2012,3.5
Public test,Horror,146.35,1999,3.5
Research investment arrive,Horror,155.66,1984,3.6
Fly drop,Comedy,26.48,2009,4.5
List property,Comedy,85.66,2008,4.1
Last three,Action,43.33,2008,2.3
Address,Horror,129.62,1981,4.7
Let TV,Drama,142.77,1986,3.2
Most adult,Horror,125.33,2016,3.9
Provide adult move,Romance,118.16,1987,4.3
Often green,Thriller,132.9,2007,4.7
Positive whole,Documentary,147.72,2018,2.7
Local serve,Action,36.42,2023,2.1
Public daughter,Action,136.05,2010,4.3
Boy strategy,Action,89.03,1994,4.6
Serious believe wide,Drama,108.34,1993,2.2
Television hold small,Drama,164.97,1983,4.6
Weight seat well,Romance,58.93,2020,4.3
Author,Horror,130.04,1993,3.1
Phone front,Sci-Fi,174.54,2023,4.5
Table cup,Sci-Fi,99.51,1992,2.8
Whole quite wall,Horror,179.99,2017,3.0
Firm risk,Documentary,47.93,2016,3.3
Country religious,Thriller,122.8,1994,3.2
Learn product large,Action,26.54,2004,3.4
Structure case ten,Action,106.9,2023,4.0
Party much,Drama,45.91,2011,2.6
Suffer various responsibility,Drama,66.04,2002,2.8
Sing none create,Drama,162.62,2003,3.1
Per my lay respond,Thriller,41.38,2001,4.5
Ground suggest,Thriller,168.38,2015,3.5
Former hot,Comedy,128.78,2017,3.4
Audience similar,Action,41.41,2017,3.5
Personal hard face,Comedy,139.76,1992,2.6
Discover oil,Thriller,111.74,1993,4.1
Out despite,Documentary,44.39,1983,2.5
Certainly,Romance,116.44,2009,2.1
Pretty realize,Sci-Fi,132.52,2012,2.4
Check,Comedy,77.25,2008,3.0
Mean politics forget,Sci-Fi,59.87,1993,2.7
Tough,Sci-Fi,149.06,1980,3.7
Response,Action,119.73,1986,3.2
Focus,Romance,57.53,1984,2.2
Water among these,Documentary,162.23,2020,3.7
Great both page,Horror,172.55,2025,2.5
Small evening voice,Drama,132.56,2004,3.9
Exist arrive low back,Thriller,39.24,1994,4.2
Can him happen,Drama,142.34,2009,4.0
Also ago number,Thriller,83.85,2010,2.2
Magazine today them,Thriller,175.16,2022,3.0
Itself whatever season compare,Action,125.12,2017,4.5
Modern,Comedy,128.92,1998,3.9
Hot voice rich,Action,165.99,2002,4.0
Voice happy doctor,Romance,64.17,1991,3.9
Would case leg,Romance,35.45,2021,3.2
Indicate occur,Comedy,139.27,1995,3.9
Assume low hit,Comedy,55.23,1998,4.1
Next available book,Comedy,43.66,2020,4.6
Including,Comedy,155.55,2008,3.1
Team place guy,Documentary,178.03,2023,2.6
Anything election government,Documentary,36.67,1986,4.7
Dark kid,Horror,70.99,2016,2.5
Race,Documentary,119.73,1991,4.7
Dog same,Romance,159.1,2009,4.5
Career push condition economy,Sci-Fi,77.35,1985,3.9
Open size,Drama,33.17,1990,3.1
System property,Action,46.97,1991,4.1
Drug it,Horror,163.84,1989,4.6
Manager Mr,Comedy,109.88,1995,2.1
Safe economic wait,Horror,80.33,2017,3.7
Pm baby note,Sci-Fi,52.19,1998,2.4
Ten there door indicate,Sci-Fi,27.11,2020,4.8
Score score together night,Action,40.37,2002,4.7
Hot,Horror,56.13,1985,2.4
Pay teacher,Drama,88.25,1993,2.4
Position that daughter,Documentary,105.18,1987,3.5
Book response around interesting,Horror,102.38,2013,2.1
Law those start,Horror,88.04,1983,4.4
Receive art nice,Comedy,122.46,1986,3.9
Teacher walk model imagine,Action,80.46,1988,2.7
Medical recent interesting,Comedy,53.09,1984,2.6
Knowledge who,Thriller,77.83,1990,3.3
Enjoy modern,Drama,166.84,2018,2.4
Go his indicate,Horror,116.15,1996,2.8
Yes government vote chair,Romance,24.06,2003,4.3
Enjoy character end spring,Comedy,170.81,2000,2.7
Onto reveal,Comedy,29.95,1995,4.8
Course religious,Romance,109.85,2014,2.3
Speech including office writer,Romance,124.77,2012,3.9
Ever join,Action,113.36,2000,3.9
Reach determine,Thriller,167.47,1998,4.0
Box analysis campaign,Thriller,74.24,1983,3.8
Great glass want,Documentary,154.61,1999,4.2
Seat blue speak,Documentary,163.49,1996,3.5
Baby politics east,Thriller,105.98,2017,3.2
Kind join travel,Documentary,72.87,2003,2.1
Base fill now,Comedy,47.41,1982,3.7
On,Horror,87.85,1986,2.5
Shake allow out though,Sci-Fi,78.75,2024,3.1
Worker keep career,Sci-Fi,130.52,2009,3.7
Between consider,Sci-Fi,37.29,2010,2.1
Old raise,Thriller,125.67,2002,3.5
Charge avoid,Romance,126.41,2002,2.9
News billion,Drama,37.22,1987,3.6
Look people do,Comedy,125.71,1992,3.3
Family a,Documentary,71.2,1999,4.6
Leave deep,Action,78.34,1993,3.0
Worker speech week blue,Action,173.26,2016,2.4
Thought such paper,Sci-Fi,129.94,2009,4.8
Blood help consumer,Thriller,98.13,2004,4.2
Great could,Documentary,153.89,1993,4.3
Above choice play industry,Comedy,71.62,2000,2.6
Black happen foreign,Action,36.13,1994,2.4
Election improve staff,Documentary,65.19,2013,2.5
Should use,Horror,74.08,1996,3.0
Style control human realize,Comedy,131.52,2019,4.3
Reality without head,Action,87.54,2025,4.5
Such finally cup,Horror,65.96,2018,3.8
Guy wall,Thriller,134.82,2022,2.0
Magazine order,Thriller,94.15,2008,4.8
He art,Drama,23.5,1990,3.9
Identify blood international,Comedy,60.99,2019,4.6
Heavy while letter road,Sci-Fi,112.5,1995,3.6
Main available main,Horror,43.02,1987,4.6
Side image,Sci-Fi,169.05,2022,3.5
Win beat paper,Comedy,150.91,2009,4.6
Popular each,Romance,105.07,2006,3.3
Grow direction charge,Action,80.06,1996,4.7
South bring,Romance,103.04,2020,2.8
Describe ready adult sound,Thriller,105.58,1997,2.3
Hot,Action,129.15,2010,4.3
Than oil,Documentary,39.35,1995,3.9
Two,Horror,34.41,1980,4.5
Likely pattern,Thriller,145.3,2016,3.2
Whether set put,Drama,154.63,1997,2.5
She,Action,109.25,1997,2.9
Despite,Comedy,156.61,1987,3.8
Low yeah protect,Comedy,25.23,1998,3.0
Write time,Thriller,136.71,1990,2.7
Newspaper,Action,102.21,1992,4.8
Learn pull guess,Romance,81.21,2006,2.2
Girl product,Comedy,87.25,1983,4.0
Us laugh road,Romance,142.95,2019,2.9
Itself Democrat field,Drama,59.21,2015,4.6
Air medical when,Horror,83.75,2014,3.6
Hit left,Thriller,124.57,1984,2.5
Thousand why,Documentary,63.27,2018,4.5
Real dream,Thriller,66.59,2019,3.6
Sing protect ready,Drama,171.01,1980,3.7
Bed food ok,Drama,86.65,1986,3.5
Stay he,Documentary,163.69,1988,3.1
Century again piece,Sci-Fi,95.71,2002,4.0
Democratic magazine,Sci-Fi,92.05,1983,2.0
Attention,Horror,39.01,2003,4.5
Pay enter,Action,20.37,2000,4.1
Simple benefit,Horror,136.45,2009,3.5
Me,Sci-Fi,44.86,2017,2.2
Next town simple,Horror,87.79,2015,3.5
Politics record,Romance,138.94,2005,4.2
Current treat health,Horror,84.27,1986,2.7
Data big,Documentary,42.76,2005,3.9
Bad all too,Comedy,56.27,1980,3.8
Food,Comedy,93.07,2004,3.3
Job reach everything,Documentary,109.68,1997,4.2
Mouth,Comedy,178.18,1996,3.7
Draw long sing,Comedy,122.88,2018,3.2
Standard back teacher,Romance,91.02,2017,3.5
High goal,Documentary,103.71,1993,3.8
Important property,Thriller,176.01,2007,4.1
World analysis,Horror,52.11,1996,3.3
Financial product,Thriller,39.35,2001,2.6
Economy cost old,Romance,22.51,1992,4.5
Growth rise,Romance,72.55,2021,4.4
Whole,Thriller,127.5,1996,3.5
Second individual first,Drama,124.7,2022,2.4
Mother us customer,Thriller,125.78,1996,2.8
Would line reason,Romance,49.14,1987,3.0
Even production get,Comedy,163.41,2013,3.2
Wrong public,Horror,175.54,2006,4.6
Detail analysis hand,Sci-Fi,70.9,1998,3.5
Age seat,Comedy,127.15,2011,3.0
However feel,Sci-Fi,88.63,1986,3.4
Just wish,Horror,117.86,2021,4.1
Live outside,Comedy,81.14,2000,4.7
Or note east,Sci-Fi,25.9,2004,4.6
Participant fish movie into,Comedy,88.52,2013,3.4
Suddenly theory read,Comedy,102.06,1995,2.1
Consumer modern act,Thriller,128.99,1997,4.5
Star attack Democrat,Thriller,74.57,1988,3.4
Short reveal common,Comedy,125.29,2012,4.3
Mission time,Documentary,156.12,2018,2.1
Bad east,Documentary,141.07,2000,2.1
Base,Comedy,43.5,1989,2.2
From candidate,Action,110.37,1998,4.6
Lot bit policy,Thriller,74.57,2010,2.1
Age policy open,Horror,159.85,2004,3.8
Team assume likely,Romance,32.34,2020,3.3
Music so,Documentary,62.85,1987,4.1
Chair strong,Drama,71.72,2012,2.6
Author wear claim,Documentary,24.55,2015,2.5
Require series,Romance,115.62,2023,4.0
Society item,Sci-Fi,78.8,1994,2.1
Really couple also,Action,140.52,2019,4.5
Three second step,Thriller,25.17,2010,3.8
Election by both,Drama,33.48,1980,4.2
Occur center option,Comedy,23.13,2007,3.2
Attention adult,Comedy,109.97,1995,2.1
Age under,Romance,86.64,2005,2.9
Brother common,Documentary,22.07,1991,3.1
Fish pay,Thriller,158.25,1980,2.1
Friend,Documentary,135.27,2018,3.0
Not then produce during,Thriller,74.7,2015,3.7
Even bad different media,Action,69.02,1988,3.6
Author matter,Romance,116.32,1980,4.0
Almost page,Comedy,140.65,2003,4.5
Big author,Drama,160.95,1999,4.0
Another value,Comedy,175.85,1997,2.4
Often somebody describe,Comedy,138.78,1993,2.1
Wall,Thriller,112.56,1986,2.4
Leave physical,Drama,90.9,1993,2.6
Child act,Comedy,124.96,2001,2.7
Generation understand,Action,73.04,1990,2.1
Think poor,Action,120.21,1983,4.0
Boy product himself,Sci-Fi,76.96,1997,3.2
Organization catch wear,Comedy,30.89,1990,2.2
Identify focus,Thriller,157.04,1997,2.2
Television take candidate,Comedy,55.47,1983,3.8
Wrong myself look development,Sci-Fi,168.63,1992,4.5
Without knowledge heavy,Action,143.38,2009,3.6
Evening them professor,Documentary,98.22,2025,3.5
Method news information,Comedy,68.08,2014,4.2
Discussion off,Drama,48.97,1991,4.8
Would support suffer,Comedy,29.27,2004,4.6
Discuss discover road,Comedy,101.62,2008,3.8
Blood economic,Comedy,100.47,2002,3.1
Sound choice,Thriller,87.84,2007,3.9
Social democratic,Drama,169.21,2018,2.1
Assume lay mean,Drama,163.39,2019,3.9
A yet,Thriller,111.58,1998,3.6
Parent pay story,Romance,140.57,1991,4.0
Song,Thriller,121.62,1990,2.6
